Index_Number,Sr#,Rank,School_Name,Suburb,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,22-23,13-23,PerAnnumGrowth
0,1,1,Mac.Robertson Girls' High School,EAST MELBOURNE,1790000,1850000,2750000,3655000,3585000,2675000,3090000,2862500,3300000,3127500,3363000,3625000.0,8,88.0,6.5
1,2,2,Melbourne High School,SOUTH YARRA,1352500,1450000,1700000,1890000,2040000,1851000,1850000,2059000,2353000,2035500,2390000,1480000.0,17,77.0,5.9
2,3,3,Nossal High School,BERWICK,453000,487500,535000,583000,670000,690000,670000,700000,812000,870000,855000,832500.0,-2,89.0,6.6
3,4,4,John Monash Science School Monash University,CLAYTON,645000,750000,976000,1010500,1250000,1255000,1158000,1055000,1200000,1123000,1165000,1020000.0,4,81.0,6.1
4,5,5,Suzanne Cory High School,WERRIBEE,309000,315000,335000,403000,470000,510000,500000,515500,570000,612000,610000,586500.0,0,97.0,7.0
5,6,6,McKinnon Secondary College,MCKINNON,1025000,1220000,1500000,1657500,1720000,1555000,1520500,1675000,2010000,1994000,2000000,,0,95.0,6.9
6,7,7,Braybrook College,BRAYBROOK,424000,479500,550000,629000,665000,728500,646500,669500,739000,794500,712000,715000.0,-10,68.0,5.3
7,8,8,Preston High School,PRESTON,632500,690000,791000,882000,996000,980000,940000,1026000,1251000,1160000,1150000,1252500.0,-1,82.0,6.2
8,9,9,Balwyn High School,BALWYN NORTH,1240000,1452000,1850000,1800000,1950000,1810000,1720000,1900000,2255500,2229000,2405000,2330000.0,8,94.0,6.8
9,10,10,East Doncaster Secondary College,DONCASTER EAST,789000,894500,1113500,1230000,1360000,1222000,1198000,1255000,1500000,1535000,1630000,1581000.0,6,107.0,7.5
10,11,11,Corryong College,CORRYONG,166500,135000,160000,164000,180000,162500,236000,226500,240000,310000,320000,285000.0,3,92.0,6.8
11,12,12,Melbourne Girls' College,RICHMOND,900000,961000,1150000,1265000,1302500,1311000,1260000,1365000,1490000,1400000,1377500,1347500.0,-2,53.0,4.3
12,13,13,University High School,PARKVILLE,1200000,1525000,1360500,2130000,2287500,2430000,1480000,1950000,2301500,1910000,2477000,,30,106.0,7.5
13,14,14,Glen Waverley Secondary College,GLEN WAVERLEY,815000,960000,1212500,1221000,1337500,1300000,1287500,1304000,1558500,1560000,1660000,1675000.0,6,104.0,7.4
14,15,15,Victorian College of the Arts,SOUTH MELBOURNE,1030000,1200000,1310000,1595000,1532500,1465000,1355000,1580000,1710000,1882500,1630000,1500000.0,-13,58.0,4.7
15,16,16,Canterbury Girls Secondary College,CANTERBURY,1950000,2100000,2523000,2620000,3140000,2533000,2902500,2705000,3389000,3460000,3252500,,-6,67.0,5.2
